CMDLINE /Users/Ari/.python-envs/optimizing-python/bin/python3 src/using_mprof.py
MEM 0.023438 1591884277.8071
MEM 11.128906 1591884277.9092
MEM 20.273438 1591884278.0144
MEM 26.406250 1591884278.1147
MEM 34.917969 1591884278.2162
MEM 64.378906 1591884278.3173
MEM 166.425781 1591884278.4220
MEM 269.664062 1591884278.5257
MEM 382.988281 1591884278.6309
MEM 483.949219 1591884278.7362
MEM 589.265625 1591884278.8392
MEM 684.203125 1591884278.9419
MEM 791.769531 1591884279.0424
MEM 810.160156 1591884279.1472
MEM 810.160156 1591884279.2475
MEM 810.160156 1591884279.3504
MEM 810.160156 1591884279.4556
MEM 810.160156 1591884279.5585
MEM 810.160156 1591884279.6627
MEM 810.160156 1591884279.7640
MEM 810.160156 1591884279.8651
MEM 810.160156 1591884279.9662
MEM 810.160156 1591884280.0693
MEM 810.160156 1591884280.1745
MEM 810.160156 1591884280.2759
MEM 810.164062 1591884280.3765
MEM 810.164062 1591884280.4818
MEM 637.453125 1591884280.5821
MEM 381.453125 1591884280.6839
MEM 40.867188 1591884280.7891
